,fc_nuclear,fc_wind,fc_solar_th,hour,thermal_gap,net_exc_power,price
93,6816.1,5212.0,630.5,21,18772.4,-550,56.49
94,6636.1,5205.0,584.6,22,16367.3,-550,50.18
95,6636.1,5230.0,577.5,23,14206.4,-550,44.79
96,6366.1,5098.0,578.6,0,13444.3,-800,46.28
97,6366.1,5132.0,555.0,1,12153.9,-800,43.0
98,6366.1,5062.0,523.1,2,11220.8,-200,41.24
99,6366.1,4949.0,470.3,3,10725.599999999999,-200,39.79
100,5966.1,4895.0,300.3,4,10941.599999999999,-200,39.43
101,5966.1,4793.0,208.4,5,10863.5,-200,38.99
102,5966.1,5049.0,82.8,6,11041.099999999999,-200,39.41
103,5966.1,5299.0,78.1,7,11219.5,-200,39.83
104,5966.1,5633.0,81.9,8,11106.9,-800,38.87
105,5966.1,5294.0,360.1,9,10772.9,-800,37.65
106,5966.1,5349.0,1636.3,10,9266.099999999999,-800,33.84
107,5966.1,5272.0,2050.5,11,8699.7,-800,32.23
108,5966.1,5353.0,2150.3,12,8765.400000000001,-800,32.26
109,5966.1,5509.0,2134.1,13,8711.0,-800,32.05
110,5966.1,5825.0,2143.0,14,8135.799999999999,-800,30.69
111,5966.1,6413.0,2099.2,15,6532.700000000001,-800,27.03
112,5966.1,7032.0,2106.8,16,5675.200000000001,-800,25.2
113,5966.1,8258.0,2104.1,17,5106.0,-800,24.47
114,5966.1,9535.0,2046.1,18,5017.5,-800,24.94
115,5966.1,10502.0,1741.2,19,6444.699999999997,-800,28.87
116,5966.1,11036.0,1068.5,20,8661.3,-800,34.43
117,5966.1,11877.0,623.6,21,9893.3,-800,37.81
118,6121.4,12200.0,594.0,22,7781.5999999999985,-800,32.99
119,6121.4,12205.0,587.6,23,6044.0,-800,28.61
120,6121.4,11923.0,601.6,0,4915.0,-800,29.86
121,6121.4,11657.0,586.3,1,4029.2999999999993,-200,28.09
122,6121.4,11268.0,514.9,2,3585.7000000000007,-200,26.57
123,6121.4,10994.0,386.5,3,3355.0999999999985,-200,25.64
124,6121.4,10546.0,217.1,4,3428.5,-200,25.34
125,6121.4,10093.0,141.6,5,3718.0,-200,25.55
126,6121.4,9681.0,80.2,6,4443.4000000000015,-200,26.85
127,6121.4,9599.0,67.0,7,4375.9000000000015,-200,26.45
128,6121.4,9566.0,71.7,8,3587.9000000000015,-200,24.33
129,6121.4,9212.0,287.5,9,3364.5,-200,23.37
130,6121.4,9306.0,1448.0,10,2140.2999999999993,-200,20.27
131,6121.4,9133.0,1848.7,11,1694.2000000000007,-200,18.89
132,6121.4,8998.0,2065.1,12,1908.5999999999985,-200,19.13
133,6121.4,9027.0,2103.1,13,2589.5,-200,20.62
134,6121.4,9453.0,2119.5,14,2124.2000000000007,-200,19.6
135,6121.4,9535.0,2126.6,15,1126.9000000000015,-200,17.06
136,6121.4,9880.0,2054.1,16,748.5999999999985,-200,16.2
137,6121.4,10433.0,1955.4,17,783.0999999999985,-200,16.48
138,6121.4,10836.0,1965.9,18,1688.300000000003,-800,18.03
139,6121.4,11241.0,1662.9,19,4119.4000000000015,-200,24.74
140,6121.4,11855.0,1008.5,20,6770.0,-200,31.4
141,6121.4,12232.0,616.3,21,8967.3,-200,36.8
142,6121.4,12160.0,580.1,22,7905.5,-200,34.0
143,6121.4,11583.0,543.4,23,6732.200000000001,-200,30.58
144,6121.4,11248.0,526.8,0,5548.799999999999,-500,31.3
145,6121.4,11238.0,479.7,1,4459.9000000000015,-500,28.48
146,6121.4,11129.0,357.5,2,3801.0999999999985,-500,26.63
147,6121.4,10583.0,259.2,3,4124.4000000000015,-500,26.86
148,6121.4,10053.0,159.1,4,4782.5,-500,27.92
149,6121.4,9742.0,82.4,5,5763.200000000001,-500,29.9
150,6121.4,9735.0,73.4,6,7827.200000000001,-500,34.71
151,6121.4,9772.0,43.8,7,10404.900000000001,-500,40.79
152,6121.4,9462.0,49.7,8,11427.7,-500,42.87
153,6121.4,9430.0,235.3,9,10735.100000000002,-500,40.99
154,6121.4,10154.0,1365.0,10,8205.5,-500,35.16
155,6121.4,10170.0,1842.0,11,7447.9000000000015,-500,33.15
156,6121.4,9920.0,1935.3,12,7544.5,-500,33.03
157,6121.4,9495.0,1977.6,13,7752.4000000000015,-500,33.07
158,6121.4,9346.0,1990.1,14,6882.0,-500,30.68
159,6121.4,9380.0,1905.2,15,6580.4000000000015,-500,29.79
160,6121.4,9504.0,1919.6,16,6951.0999999999985,-500,30.59
161,6121.4,9615.0,1799.5,17,7688.5,-500,32.27
162,6121.4,10388.0,1685.4,18,7947.700000000001,-500,33.24
163,6121.4,11007.0,1386.3,19,9236.0,-500,36.6
164,6121.4,11134.0,895.7,20,11597.400000000001,-500,42.23
165,6121.4,11018.0,581.3,21,13153.3,-500,45.74
166,6121.4,11181.0,539.4,22,10470.2,-500,39.17
167,6121.4,10983.0,517.2,23,8423.400000000001,-500,33.9
168,6471.4,10779.0,465.5,0,7282.0999999999985,-500,35.76
169,6471.4,10738.0,442.1,1,6092.5,-500,32.68
170,6471.4,10146.0,256.1,2,5971.5,-500,31.8
171,6471.4,9391.0,124.9,3,6389.700000000001,-500,32.12
172,6881.4,8755.0,78.6,4,6634.0,-500,32.78
173,6881.4,8611.0,23.3,5,7032.299999999999,-500,33.47
174,6881.4,8400.0,14.4,6,8967.2,-500,37.83
175,6881.4,7933.0,13.3,7,11738.8,-500,44.04
176,6881.4,7628.0,39.3,8,12147.8,-500,44.64
177,7101.4,6877.0,171.1,9,11579.800000000003,-500,42.94
178,7101.4,6302.0,1209.8,10,10391.5,-500,39.47
179,7101.4,5896.0,1862.3,11,9756.600000000002,-500,37.47
180,7101.4,5418.0,1985.6,12,10402.900000000001,-500,38.53
181,7101.4,4953.0,1876.9,13,11240.0,-500,40.06
182,7101.4,4832.0,1938.5,14,10658.900000000001,-500,38.39
183,7101.4,4627.0,1911.0,15,10524.599999999999,-500,37.74
184,7101.4,4391.0,1908.8,16,10983.100000000002,-500,38.51
185,7117.2,4429.0,1903.9,17,11782.599999999999,-500,40.31
186,7117.2,4752.0,1816.5,18,12177.599999999999,-500,41.31
187,7117.2,5222.0,1496.1,19,13974.1,-500,45.8
188,7117.2,5655.0,885.5,20,16169.5,-500,51.23
189,7117.2,5976.0,576.3,21,17257.5,-500,53.91
190,7117.2,6115.0,541.2,22,14708.6,-500,47.65
191,7117.2,5891.0,514.5,23,12606.3,-500,42.23
192,7117.2,5352.0,513.0,0,12156.8,-500,44.95
193,7117.2,4685.0,412.6,1,11616.2,-500,43.01
194,7117.2,4306.0,305.2,2,11179.6,-500,41.52
195,7117.2,3838.0,145.1,3,11699.7,-500,42.28
196,7117.2,3300.0,67.5,4,12196.3,-500,42.93
197,7117.2,3054.0,50.1,5,12849.7,-500,44.17
198,7117.2,2805.0,34.3,6,14986.5,-500,48.99
199,7117.2,2530.0,23.9,7,17654.6,-500,55.08
200,7117.2,2256.0,39.5,8,18374.0,-500,56.45
201,7117.2,1971.0,212.1,9,17645.4,-500,54.31
202,7117.2,1864.0,1338.7,10,15787.8,-500,49.55
203,7117.2,1832.0,1890.8,11,15070.100000000002,-500,47.6
204,7117.2,1797.0,2023.7,12,15472.599999999999,-500,48.37
205,7117.2,1601.0,2025.7,13,15540.7,-500,48.22
206,7117.2,1601.0,2027.4,14,14949.900000000001,-500,46.6
207,7117.2,1688.0,2034.1,15,14194.400000000001,-500,44.65
208,7117.2,2054.0,2001.7,16,14463.400000000001,-500,45.37
209,7117.2,2491.0,1905.7,17,14919.4,-500,46.59
210,7117.2,2880.0,1779.4,18,15451.5,-500,47.96
211,7117.2,3394.0,1427.9,19,16819.5,-500,51.45
212,7117.2,3997.0,862.1,20,18699.8,-500,56.23
213,7117.2,4973.0,626.8,21,18863.0,-500,57.11
214,7117.2,5837.0,600.5,22,15440.3,-500,49.23
215,7117.2,5738.0,574.9,23,13249.900000000001,-500,43.68
216,7117.2,5308.0,548.3,0,12484.5,-500,45.72
217,7117.2,5057.0,435.4,1,11645.400000000001,-500,43.33
218,7117.2,4680.0,314.6,2,11398.2,-500,42.3
219,7117.2,4637.0,189.7,3,11174.1,-500,41.55
220,7117.2,4619.0,86.4,4,11129.400000000001,-500,41.25
221,7117.2,4502.0,65.8,5,11625.0,-500,42.19
222,7117.2,4432.0,42.3,6,13639.5,-500,46.83
223,7117.2,4149.0,37.9,7,16170.3,-500,52.58
224,7117.2,3589.0,52.8,8,16978.5,-500,53.98
225,7117.2,2668.0,271.3,9,16617.4,-500,52.3
226,7117.2,2366.0,1467.7,10,15167.4,-500,48.38
227,7117.2,2390.0,1967.4,11,14397.5,-500,46.35
228,7117.2,2114.0,2080.4,12,14630.2,-500,46.54
229,7117.2,2114.0,2031.0,13,14732.400000000001,-500,46.61
230,7117.2,2216.0,2033.6,14,13921.099999999999,-500,44.53
231,7117.2,2579.0,2025.3,15,13338.7,-500,43.19
232,7117.2,3103.0,2008.7,16,12989.5,-500,42.52
233,7117.2,3641.0,1929.8,17,13419.800000000003,-500,43.74
234,7117.2,4027.0,1819.7,18,14094.0,-500,45.46
235,7117.2,4267.0,1316.4,19,16290.0,-500,50.76
236,7117.2,4538.0,843.2,20,18520.2,-500,56.16
237,7117.2,5000.0,595.0,21,18796.8,-500,56.97
238,7117.2,5561.0,519.0,22,15973.8,-500,50.34
239,7117.2,5705.0,572.5,23,13599.3,-500,44.51
240,7117.2,5542.0,524.6,0,12625.2,-500,46.22
241,7117.2,5265.0,444.4,1,11772.400000000001,-500,43.78
242,7117.2,5046.0,318.6,2,10984.2,-500,41.55
243,7117.2,4936.0,220.1,3,10628.7,-500,40.43
244,7117.2,4828.0,122.8,4,10590.0,-500,40.08
245,7117.2,4550.0,71.0,5,11176.8,-500,41.13
246,7117.2,4137.0,70.7,6,13117.1,-500,45.37
247,7117.2,3880.0,46.0,7,15323.900000000001,-500,50.35
248,7117.2,3462.0,42.5,8,15419.6,-500,50.12
249,7117.2,2815.0,164.5,9,15251.9,-500,49.09
250,7117.2,2016.0,966.3,10,14603.900000000001,-500,46.79
251,7117.2,1940.0,1282.6,11,14107.300000000001,-500,45.35
252,7117.2,1683.0,1448.8,12,14714.2,-500,46.46
253,7117.2,1756.0,1491.5,13,14866.2,-500,46.7
254,7117.2,1914.0,1406.0,14,14206.3,-500,45.03
255,7117.2,2107.0,1442.4,15,15695.5,-500,48.58
256,7117.2,2232.0,1457.1,16,13771.199999999997,-500,43.82
257,7117.2,2577.0,1383.5,17,14193.8,-500,44.9
258,7117.2,2941.0,1224.8,18,15192.1,-500,47.38
259,7117.2,3324.0,808.7,19,16807.4,-500,51.38
260,7117.2,3606.0,671.6,20,18500.5,-500,55.49
261,7117.2,3998.0,353.0,21,19404.8,-500,57.76
262,7117.2,4334.0,299.8,22,16657.0,-500,51.16
263,7117.2,4360.0,233.7,23,14583.1,-500,45.98
264,7117.2,4250.0,167.6,0,13642.2,-500,47.8
265,7117.2,4251.0,226.4,1,12445.400000000001,-500,44.73
266,7117.2,3907.0,102.6,2,11868.2,-500,42.92
267,7117.2,3474.0,16.8,3,11678.0,-500,41.98
268,7117.2,3227.0,23.6,4,11620.2,-500,41.49
269,7117.2,2942.0,21.2,5,11736.6,-500,41.4
270,7117.2,2904.0,16.5,6,12202.3,-500,42.32
271,7117.2,3102.0,12.1,7,12491.099999999999,-500,42.97
272,7117.2,3270.0,12.0,8,12306.7,-500,42.46
273,7117.2,3202.0,93.3,9,11545.0,-500,40.38
274,7117.2,2838.0,782.6,10,11092.1,-500,38.85
275,7117.2,2985.0,1338.6,11,10581.199999999997,-500,37.52
276,7117.2,3052.0,1635.9,12,10372.800000000003,-500,36.88
277,7117.2,3186.0,1798.6,13,10448.099999999999,-500,36.97
278,7117.2,3239.0,1700.6,14,10655.099999999999,-500,37.33
279,7117.2,3276.0,1718.5,15,9783.7,-500,35.06
280,7117.2,3292.0,1795.1,16,9380.699999999997,-500,33.91
281,7117.2,3596.0,1755.7,17,9952.599999999999,-500,35.32
282,7117.2,4195.0,1425.7,18,11096.3,-500,38.32
283,7117.2,4928.0,916.4,19,12639.7,-500,42.38
284,7117.2,5452.0,332.4,20,14758.3,-500,47.69
285,7117.2,6276.0,274.0,21,15242.8,-500,49.24
286,7117.2,6972.0,263.8,22,12644.0,-500,43.24
287,7117.2,7046.0,205.8,23,10822.0,-500,38.7
288,7117.2,6718.0,119.0,0,9946.8,-500,40.54
289,7117.2,6279.0,79.0,1,9104.8,-500,38.02
290,7117.2,5918.0,55.0,2,8479.8,-500,36.08
291,7117.2,5549.0,76.9,3,8171.9000000000015,-500,34.9
292,7117.2,5408.0,40.3,4,7944.5,-500,34.08
293,7117.2,5201.0,15.9,5,7917.9000000000015,-500,33.69
294,7117.2,4926.0,13.8,6,8235.0,-500,34.09
295,7117.2,4817.0,11.1,7,8411.4,-500,34.26
296,7117.2,4668.0,12.0,8,8093.799999999999,-500,33.21
297,7117.2,4399.0,35.9,9,7968.6,-500,32.54
298,7117.2,4125.0,339.1,10,8018.0,-500,32.29
299,7117.2,4328.0,708.6,11,8066.0,-500,32.36
300,7117.2,4681.0,869.9,12,8216.599999999999,-500,32.78
301,7117.2,4985.0,870.9,13,8330.300000000003,-500,33.08
302,7117.2,5374.0,825.3,14,7964.600000000002,-500,32.27
303,7117.2,5531.0,884.7,15,7029.5999999999985,-500,29.94
304,7117.2,5485.0,956.6,16,6893.699999999997,-500,29.39
305,7117.2,5475.0,1117.7,17,7324.5999999999985,-500,30.25
306,7117.2,5672.0,1040.1,18,8473.3,-500,32.98
307,7117.2,5953.0,760.0,19,10506.6,-500,37.91
308,7117.2,6093.0,364.8,20,13100.1,-500,44.11
309,7117.2,6527.0,132.9,21,14498.900000000001,-500,47.61
310,7117.2,7089.0,61.7,22,12984.1,-500,44.14
311,7117.2,6949.0,47.1,23,11332.7,-500,39.87
312,7117.2,7036.0,33.6,0,9886.2,-500,40.61
313,7117.2,7289.0,17.3,1,8241.5,-500,36.62
314,7117.2,7484.0,25.8,2,7072.0,-500,33.74
315,7117.2,7442.0,29.9,3,6758.9000000000015,-500,32.77
316,7117.2,7019.0,10.1,4,7177.700000000001,-500,33.31
317,7117.2,6640.0,4.8,5,8055.0,-500,35.0
318,7117.2,6276.0,4.7,6,10879.1,-500,41.4
319,7117.2,5990.0,14.1,7,14049.4,-500,48.7
320,7117.2,5728.0,16.6,8,15313.5,-500,51.4
321,7117.2,5205.0,32.9,9,15509.9,-500,51.34
322,7117.2,4634.0,267.5,10,15579.400000000001,-500,50.94
323,7117.2,5107.0,649.6,11,14876.0,-500,49.37
324,7117.2,5594.0,764.5,12,14874.599999999999,-500,49.51
325,7117.2,5782.0,877.2,13,14757.2,-500,49.17
326,7117.2,5963.0,952.1,14,13666.199999999997,-500,46.47
327,7117.2,5911.0,1103.0,15,13039.099999999999,-500,44.74
328,7117.2,5795.0,1097.4,16,13530.400000000001,-500,45.66
329,7117.2,5897.0,961.3,17,14593.0,-500,48.13
330,7117.2,5549.0,832.8,18,15742.400000000001,-500,50.49
331,7117.2,5399.0,531.8,19,17263.6,-500,53.89
332,7117.2,5091.0,234.0,20,19193.5,-500,58.18
333,7117.2,5328.0,125.4,21,19700.4,-500,59.39
334,7117.2,5506.0,89.3,22,16668.5,-500,51.99
335,7117.2,5286.0,44.4,23,14490.400000000001,-500,46.38
336,7117.2,5569.0,11.7,0,12914.1,-500,46.94
337,7117.2,5191.0,7.5,1,12010.3,-500,44.31
338,7117.2,4975.0,18.2,2,11492.6,-500,42.73
339,7117.2,3963.0,12.2,3,12099.6,-500,43.33
340,7117.2,2700.0,19.0,4,13270.8,-500,45.13
341,7117.2,2391.0,11.8,5,13938.0,-500,46.35
342,7117.2,2206.0,10.2,6,15860.6,-500,50.7
343,7117.2,1730.0,11.0,7,18879.4,-500,57.5
344,7117.2,1815.0,25.9,8,19520.7,-500,58.93
345,7117.2,1641.0,150.5,9,19418.9,-500,58.38
346,7117.2,1516.0,1031.8,10,17865.800000000003,-500,54.34
347,7117.2,1637.0,1207.4,11,17492.800000000003,-500,53.34
348,7117.2,2148.0,1172.0,12,17479.0,-500,53.47
349,7117.2,2423.0,1537.9,13,16942.800000000003,-500,52.17
350,7117.2,2683.0,1678.2,14,15717.3,-500,49.2
351,7117.2,2774.0,1559.5,15,15521.599999999999,-500,48.61
352,7117.2,2615.0,1644.5,16,15655.5,-500,48.64
353,7117.2,2435.0,1641.7,17,16568.3,-500,50.55
354,7117.2,2307.0,1643.5,18,17670.3,-500,52.95
355,7117.2,2272.0,1213.5,19,19773.1,-500,57.84
356,7117.2,2052.0,691.8,20,22384.7,-500,63.83
357,7117.2,1967.0,419.6,21,23094.2,-500,65.31
358,7117.2,1860.0,366.3,22,20318.5,-500,58.34
359,7117.2,1630.0,372.5,23,18307.3,-500,53.14
360,7117.2,1357.0,177.6,0,17333.2,-500,54.77
361,7117.2,1513.0,103.3,1,16011.5,-500,51.5
362,7117.2,1428.0,74.7,2,15365.1,-500,49.7
363,7117.2,1155.0,32.9,3,15330.900000000001,-500,49.25
364,7117.2,959.0,32.2,4,15478.6,-500,49.29
365,7117.2,793.0,29.4,5,15923.400000000001,-500,50.07
366,7117.2,769.0,12.8,6,17982.0,-500,54.86
367,7117.2,901.0,5.8,7,20592.0,-500,61.08
368,7117.2,927.0,8.3,8,21238.2,-500,62.48
369,7117.2,867.0,100.4,9,20397.7,-500,60.22
370,7117.2,768.0,507.8,10,19488.300000000003,-500,57.77
371,7117.2,862.0,869.3,11,18552.600000000002,-500,55.38
372,7117.2,1105.0,963.5,12,19079.5,-500,56.64
373,7117.2,1460.0,1055.0,13,19243.3,-500,57.09
374,7117.2,1795.0,857.5,14,18432.3,-500,55.18
375,7117.2,1947.0,626.4,15,18375.7,-500,54.97
376,7117.2,2255.0,526.9,16,18735.0,-500,55.87
377,7117.2,2759.0,340.9,17,19836.300000000003,-500,58.69
378,7117.2,3162.0,220.0,18,20318.0,-500,59.95
379,7117.2,3437.0,136.1,19,20750.2,-500,61.01
380,7117.2,3561.0,23.3,20,22053.0,-500,64.06
381,7117.2,4184.0,6.0,21,21638.8,-500,63.3
382,7117.2,4755.0,6.1,22,18346.7,-500,55.54
383,7117.2,5091.0,7.1,23,15477.7,-500,48.64
384,7117.2,5193.0,8.9,0,13926.900000000001,-500,49.14
385,7117.2,5280.0,8.6,1,12479.2,-500,45.51
386,7117.2,5129.0,9.8,2,11783.0,-500,43.54
387,7117.2,4603.0,10.4,3,11957.400000000001,-500,43.42
388,7117.2,3725.0,10.3,4,12636.5,-500,44.29
389,7117.2,3662.0,10.6,5,13068.2,-500,45.11
390,7117.2,4158.0,10.6,6,14510.2,-500,48.75
391,7117.2,4622.0,10.3,7,16825.7,-500,54.49
392,7117.2,4515.0,10.3,8,17545.8,-500,55.98
393,7117.2,4354.0,21.7,9,18208.9,-500,57.29
394,7117.2,3992.0,107.5,10,18366.2,-500,57.25
395,7117.2,4456.0,91.2,11,18354.3,-500,57.35
396,7117.2,4828.0,104.0,12,18700.7,-500,58.26
397,7117.2,5303.0,146.5,13,18000.1,-500,56.71
398,7117.2,5674.0,151.4,14,16573.9,-500,53.32
399,7117.2,5959.0,189.3,15,15093.599999999999,-500,49.75
400,7117.2,6049.0,180.5,16,15040.7,-500,49.5
401,7117.2,6625.0,108.7,17,15255.699999999997,-500,50.23
402,7117.2,6758.0,48.2,18,15708.5,-500,51.24
403,7117.2,6791.0,17.4,19,16642.7,-500,53.34
404,7117.2,6841.0,13.1,20,18179.0,-500,56.91
405,7117.2,6704.0,7.5,21,18535.3,-500,57.5
406,7117.2,6288.0,9.5,22,16064.3,-500,51.06
407,7117.2,7210.0,10.6,23,12748.2,-500,43.47
408,7117.2,7682.0,10.5,0,10886.3,-300,43.71
409,7117.2,8129.0,10.5,1,9157.3,-300,39.65
410,7117.2,7688.0,10.5,2,8772.3,-300,38.23
411,7117.2,6869.0,10.7,3,9209.1,-300,38.55
412,7117.2,7373.0,10.3,4,8633.5,-300,37.32
413,7117.2,7890.0,9.9,5,8467.900000000001,-300,37.09
414,7117.2,8349.0,10.1,6,9793.7,-300,40.43
415,7117.2,7755.0,10.1,7,13018.7,-300,47.65
416,7117.2,7437.0,10.3,8,14590.4,-450,50.87
417,7117.2,6996.0,10.3,9,15613.1,-450,52.87
418,7117.2,6873.0,14.4,10,16096.800000000001,-450,53.77
419,7117.2,7738.0,22.3,11,14966.900000000001,-450,51.44
420,7117.2,8315.0,35.0,12,14202.400000000001,-300,49.99
421,7117.2,8766.0,139.1,13,13680.599999999999,-300,48.85
422,7117.2,9170.0,179.9,14,12146.400000000001,-300,45.22
423,7117.2,8826.0,85.0,15,11347.099999999999,-300,42.88
424,7117.2,7312.0,109.9,16,12553.400000000001,-300,44.59
425,7117.2,6223.0,190.8,17,13276.5,-300,45.41
426,7117.2,6382.0,137.4,18,13713.9,-300,46.4
427,7117.2,6959.0,63.4,19,14395.0,-300,48.26
428,7117.2,6316.0,40.6,20,16844.2,-300,53.57
429,7117.2,5591.0,31.1,21,17606.7,-300,54.74
430,7117.2,5432.0,39.6,22,15015.2,-300,48.18
431,7117.2,5030.0,51.8,23,13536.0,-300,44.14
432,7117.2,4897.0,25.3,0,12573.5,-500,45.66
433,7117.2,4993.0,7.8,1,11376.0,-500,42.64
434,7117.2,5238.0,7.9,2,10222.900000000001,-300,40.08
435,7117.2,5578.0,10.8,3,9229.0,-300,37.73
436,7117.2,5620.0,9.2,4,8699.6,-300,36.29
437,7117.2,5263.0,8.3,5,8926.5,-300,36.42
438,7117.2,5436.0,7.9,6,9187.900000000001,-300,36.98
439,7117.2,5765.0,11.0,7,9608.0,-300,38.04
440,7117.2,6009.0,9.0,8,9589.8,-200,38.11
441,7117.2,5996.0,20.5,9,9647.1,-200,38.05
442,7117.2,6169.0,159.6,10,9217.400000000001,-200,36.95
443,7117.2,6683.0,318.9,11,8632.300000000003,-200,35.7
